TCGA_DESC,DRUG_NAME,MEDIAN_IC50,MEAN_IC50,MAD,N,BROAD_EFFECT,SENSITIVE,study_name,id,abstract_bool
ALL,5-Fluorouracil,32.7129161367987,61.4224351968521,0.0934890494999999,24,False,False,Acute lymphoblastic leukemia,5-Fluorouracil_Acute lymphoblastic leukemia,True
ALL,Vincristine,0.0102330396314105,0.0415357005484084,0.0929901546,22,False,True,Acute lymphoblastic leukemia,Vincristine_Acute lymphoblastic leukemia,True
ALL,Cytarabine,0.0723704989498488,0.366488012377393,0.1894866582,24,True,True,Acute lymphoblastic leukemia,Cytarabine_Acute lymphoblastic leukemia,True
ALL,ABT737,0.288678855524468,6.89929458494645,0.1738726563,24,False,True,Acute lymphoblastic leukemia,ABT737_Acute lymphoblastic leukemia,True
ALL,Vinorelbine,0.0060590728638611,0.0127409188425403,0.1081764264,24,False,True,Acute lymphoblastic leukemia,Vinorelbine_Acute lymphoblastic leukemia,True
ALL,CZC24832,51.0194210323486,61.7137168818224,0.0154212639,22,False,False,Acute lymphoblastic leukemia,CZC24832_Acute lymphoblastic leukemia,False
ALL,Acetalax,98.4895880077697,128.830955090391,0.0207089568,22,False,False,Acute lymphoblastic leukemia,Acetalax_Acute lymphoblastic leukemia,False
ALL,Vorinostat,0.980620265846025,1.12607978633847,0.0601980078,24,False,True,Acute lymphoblastic leukemia,Vorinostat_Acute lymphoblastic leukemia,True
ALL,Dabrafenib,22.0684278507433,33.4247461818121,0.0294259034999999,24,False,False,Acute lymphoblastic leukemia,Dabrafenib_Acute lymphoblastic leukemia,True
ALL,Afatinib,2.44978555183053,2.82064915368795,0.0388774784999999,24,False,False,Acute lymphoblastic leukemia,Afatinib_Acute lymphoblastic leukemia,False
ALL,VSP34_8731,5.73659758287476,6.69804486203417,0.0604834083,22,False,False,Acute lymphoblastic leukemia,VSP34_8731_Acute lymphoblastic leukemia,False
ALL,Dactinomycin,0.0075954548605601,0.018540734097117,0.5272666749,46,True,True,Acute lymphoblastic leukemia,Dactinomycin_Acute lymphoblastic leukemia,True
ALL,GSK2606414,11.9373296506924,20.8123657762707,0.0559118112000001,22,False,False,Acute lymphoblastic leukemia,GSK2606414_Acute lymphoblastic leukemia,True
ALL,Afuresertib,3.05198227283888,5.26438163175962,0.1403399508,24,False,False,Acute lymphoblastic leukemia,Afuresertib_Acute lymphoblastic leukemia,False
ALL,BPD-00008900,35.2102663031176,44.6505979175414,0.0198134663999999,24,False,False,Acute lymphoblastic leukemia,BPD-00008900_Acute lymphoblastic leukemia,False
ALL,Dactolisib,0.0966674116267286,0.219347313078104,0.0946773534,24,False,True,Acute lymphoblastic leukemia,Dactolisib_Acute lymphoblastic leukemia,True
ALL,AGI-5198,42.672831760881,49.436230014581,0.0187741638,24,False,False,Acute lymphoblastic leukemia,AGI-5198_Acute lymphoblastic leukemia,False
ALL,Buparlisib,1.36982989013561,1.53725373364594,0.0661128405,24,False,False,Acute lymphoblastic leukemia,Buparlisib_Acute lymphoblastic leukemia,True
ALL,AZD5363,6.67599340614488,10.644841339519,0.0963104373,24,False,False,Acute lymphoblastic leukemia,AZD5363_Acute lymphoblastic leukemia,True
ALL,Daporinad,0.0011132417773014,0.0016119325307912,0.0860975472,11,False,True,Acute lymphoblastic leukemia,Daporinad_Acute lymphoblastic leukemia,False
ALL,AGI-6780,20.3492855507768,23.9982659475667,0.0168230622,22,False,False,Acute lymphoblastic leukemia,AGI-6780_Acute lymphoblastic leukemia,False
ALL,Dasatinib,3.82143175201808,4.50208162216167,0.0306223617000001,24,False,False,Acute lymphoblastic leukemia,Dasatinib_Acute lymphoblastic leukemia,True
ALL,Alisertib,0.130356796444029,2.37381173241675,0.2028033714,21,False,True,Acute lymphoblastic leukemia,Alisertib_Acute lymphoblastic leukemia,True
ALL,Leflunomide,58.6407624789518,63.7096211674197,0.0464602361999999,22,False,False,Acute lymphoblastic leukemia,Leflunomide_Acute lymphoblastic leukemia,True
ALL,AZD5582,2.11682007925871,6.63778784676944,0.153130341,21,False,False,Acute lymphoblastic leukemia,AZD5582_Acute lymphoblastic leukemia,False
ALL,Dihydrorotenone,1.17317294852414,1.60220757452178,0.0672032927999999,21,False,False,Acute lymphoblastic leukemia,Dihydrorotenone_Acute lymphoblastic leukemia,False
ALL,Alpelisib,11.656069133335,21.5777339190673,0.0375950295,24,False,False,Acute lymphoblastic leukemia,Alpelisib_Acute lymphoblastic leukemia,False
ALL,LGK974,17.544354586702,26.4242126886423,0.0216941445,24,False,False,Acute lymphoblastic leukemia,LGK974_Acute lymphoblastic leukemia,False
ALL,AZD5991,2.01425096534387,25.5958036900038,0.3151814862,22,False,False,Acute lymphoblastic leukemia,AZD5991_Acute lymphoblastic leukemia,False
ALL,Dinaciclib,0.0206434655111985,0.460167767762407,0.0474217023,22,False,True,Acute lymphoblastic leukemia,Dinaciclib_Acute lymphoblastic leukemia,True
ALL,AMG-319,30.4556870884231,41.1456651887592,0.0151432764,24,False,False,Acute lymphoblastic leukemia,AMG-319_Acute lymphoblastic leukemia,False
ALL,BIBR-1532,64.2338518844714,71.265271789561,0.0049607795999999,24,False,False,Acute lymphoblastic leukemia,BIBR-1532_Acute lymphoblastic leukemia,False
ALL,Linsitinib,19.8138202954519,23.7187540829857,0.0374808693,24,False,False,Acute lymphoblastic leukemia,Linsitinib_Acute lymphoblastic leukemia,False
ALL,Docetaxel,0.0053499021925911,0.958186367437355,0.2087233932,41,True,True,Acute lymphoblastic leukemia,Docetaxel_Acute lymphoblastic leukemia,True
ALL,AT13148,12.8609090467159,21.2318428480903,0.0658066836000001,24,False,False,Acute lymphoblastic leukemia,AT13148_Acute lymphoblastic leukemia,False
ALL,LJI308,63.8073381916919,81.9882000679624,0.0064878576,24,False,False,Acute lymphoblastic leukemia,LJI308_Acute lymphoblastic leukemia,False
ALL,Eg5_9814,0.0070969495976425,0.0295807533839238,0.0720491709,22,False,True,Acute lymphoblastic leukemia,Eg5_9814_Acute lymphoblastic leukemia,False
